Violet Tasks
Violet Tasks,,,,,,
Routine,ID,Icon,Time,Banner,Task,Tags
Morning Routine,am,☁️,8:00 AM,☁️✨ Morning magic complete Violet!,👗 Get dressed,dressing
Morning Routine,am,☁️,8:00 AM,☁️✨ Morning magic complete Violet!,👕 PJs in the laundry room,organization
Morning Routine,am,☁️,8:00 AM,☁️✨ Morning magic complete Violet!,💇 Brush hair,hygiene
Morning Routine,am,☁️,8:00 AM,☁️✨ Morning magic complete Violet!,🪥 Brush teeth & 🧼 wash face,hygiene
Morning Routine,am,☁️,8:00 AM,☁️✨ Morning magic complete Violet!,🧴 Sunscreen / 🧢 Hat & jacket or sweatshirt,health
Morning Routine,am,☁️,8:00 AM,☁️✨ Morning magic complete Violet!,🎒 Pack backpack / 🍕lunch & 🚰 water bottle,"school,organization"
Afternoon Routine,af,🌸,3:30 PM,🌸 Afternoon done — you are a star!,🎒 Unpack backpack,"organization,school"
Afternoon Routine,af,🌸,3:30 PM,🌸 Afternoon done — you are a star!,🧼 Wash your hands,"hygiene,health"
Evening Routine,pm,🖤,6:00 PM,🖤 Kuromi says: sweet dreams Violet! 💜,🚿 Shower,"hygiene,health"
Evening Routine,pm,🖤,6:00 PM,🖤 Kuromi says: sweet dreams Violet! 💜,🪥 Brush teeth & 🧼 wash face,hygiene
Evening Routine,pm,🖤,6:00 PM,🖤 Kuromi says: sweet dreams Violet! 💜,💇 Brush hair,hygiene
Evening Routine,pm,🖤,6:00 PM,🖤 Kuromi says: sweet dreams Violet! 💜,🩷 Get PJs on,dressing
Evening Routine,pm,🖤,6:00 PM,🖤 Kuromi says: sweet dreams Violet! 💜,👕 Put dirty clothes in the laundry room,organization
